waypoint,kind,east_m,north_m,lat,lon,yaw_rad,lookahead_m,speed_mps,local_radius_m
30,headland,4.662,-17.732,40.485467191,-80.332370134,5.037478,2.00,0.50,
31,headland,4.822,-18.205,40.485462908,-80.332368249,5.037478,2.00,0.50,
32,headland,4.981,-18.678,40.485458625,-80.332366365,5.037478,2.00,0.50,
33,headland,5.141,-19.152,40.485454342,-80.332364480,5.037478,2.00,0.50,
34,headland,5.301,-19.625,40.485450060,-80.332362595,5.037478,2.00,0.50,
35,headland,5.460,-20.099,40.485445777,-80.332360711,5.037478,2.00,0.50,
36,headland,5.620,-20.572,40.485441494,-80.332358826,5.037478,2.00,0.50,
37,headland,5.779,-21.046,40.485437211,-80.332356942,5.037478,2.00,0.50,
38,headland,5.939,-21.519,40.485432928,-80.332355057,5.037478,2.00,0.50,
39,headland,6.098,-21.992,40.485428646,-80.332353172,5.037478,2.00,0.50,
40,headland,6.258,-22.466,40.485424363,-80.332351288,5.037478,2.00,0.50,
41,headland,6.417,-22.939,40.485420080,-80.332349403,5.037478,2.00,0.50,
42,headland,6.577,-23.413,40.485415797,-80.332347518,5.037478,2.00,0.50,
43,headland,6.737,-23.886,40.485411514,-80.332345634,5.037478,2.00,0.50,
44,headland,6.896,-24.360,40.485407231,-80.332343749,5.037478,2.00,0.50,
45,headland,7.056,-24.833,40.485402949,-80.332341865,5.037478,2.00,0.50,
46,headland,7.215,-25.306,40.485398666,-80.332339980,5.037478,2.00,0.50,
47,headland,7.375,-25.780,40.485394383,-80.332338095,5.037478,2.00,0.50,
48,headland,7.534,-26.253,40.485390100,-80.332336211,5.037478,2.00,0.50,
49,headland,7.694,-26.727,40.485385817,-80.332334326,4.988330,2.00,0.50,6.983
50,headland,7.745,-26.906,40.485384192,-80.332333725,4.890035,2.00,0.50,1.900
51,headland,7.778,-27.090,40.485382530,-80.332333336,4.791740,2.00,0.50,1.900
52,headland,7.793,-27.276,40.485380847,-80.332333161,4.693444,2.00,0.50,1.900
53,headland,7.789,-27.463,40.485379158,-80.332333203,4.595149,2.00,0.50,1.900
54,headland,7.767,-27.648,40.485377481,-80.332333461,4.496854,2.00,0.50,1.900
55,headland,7.727,-27.831,40.485375831,-80.332333932,4.398559,2.00,0.50,1.900
56,headland,7.670,-28.008,40.485374225,-80.332334613,4.300264,2.00,0.50,1.900
57,headland,7.595,-28.179,40.485372677,-80.332335496,4.201969,2.00,0.50,1.900
58,headland,7.504,-28.342,40.485371204,-80.332336573,4.103674,2.00,0.50,1.900
59,headland,7.397,-28.495,40.485369818,-80.332337834,4.005378,2.00,0.50,1.900
60,headland,7.276,-28.637,40.485368534,-80.332339266,3.907083,2.00,0.50,1.900
61,headland,7.141,-28.766,40.485367364,-80.332340856,3.808788,2.00,0.50,1.900
62,headland,6.994,-28.882,40.485366319,-80.332342588,3.710493,2.00,0.50,1.900
63,headland,6.837,-28.983,40.485365409,-80.332344446,3.612198,2.00,0.50,1.900
64,headland,6.671,-29.067,40.485364643,-80.332346411,3.513903,2.00,0.50,1.900
65,headland,6.497,-29.135,40.485364029,-80.332348465,3.464755,2.00,0.50,6.815
66,headland,6.039,-29.289,40.485362641,-80.332353876,3.464755,2.00,0.50,
67,headland,5.581,-29.442,40.485361253,-80.332359286,3.464755,2.00,0.50,
68,headland,5.123,-29.595,40.485359865,-80.332364697,3.464755,2.00,0.50,
69,headland,4.665,-29.749,40.485358477,-80.332370107,3.464755,2.00,0.50,
70,headland,4.206,-29.902,40.485357090,-80.332375518,3.464755,2.00,0.50,
71,headland,3.748,-30.056,40.485355702,-80.332380928,3.464755,2.00,0.50,
72,headland,3.290,-30.209,40.485354314,-80.332386339,3.464755,2.00,0.50,
73,headland,2.832,-30.362,40.485352926,-80.332391750,3.464755,2.00,0.50,
74,headland,2.374,-30.516,40.485351538,-80.332397160,3.464755,2.00,0.50,
75,headland,1.916,-30.669,40.485350150,-80.332402571,3.464755,2.00,0.50,
76,headland,1.458,-30.823,40.485348762,-80.332407981,3.464755,2.00,0.50,
77,headland,1.000,-30.976,40.485347374,-80.332413392,3.464755,2.00,0.50,
